full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
hakimel/reveal.js,False,True,49421,1560,0,2019-12-07T05:41:23Z,30,14379,14379,49421,547,True,9662,False,False,True,517,JavaScript,2011-06-07T18:54:22Z,,True,2019-12-07T05:41:36Z,1861458,The HTML Presentation Framework
flutter/flutter,False,True,80892,2583,0,2019-12-07T06:26:44Z,30,10376,10376,80892,7739,True,83066,False,False,True,7709,Dart,2015-03-06T22:54:58Z,,False,2019-12-07T05:22:57Z,31792824,Flutter makes it easy and fast to build beautiful mobile apps.
reduxjs/redux,False,False,51618,1486,14,2019-12-06T20:16:56Z,11,13506,13506,51618,38,False,8891,False,False,True,13,TypeScript,2015-05-29T23:53:15Z,,True,2019-12-07T06:28:54Z,36535156,Predictable state container for JavaScript apps
pallets/flask,False,False,47843,2272,2,2019-12-03T04:54:41Z,4,13114,13114,47843,26,False,7536,False,False,True,20,Python,2010-04-06T11:11:59Z,,False,2019-12-07T05:06:37Z,596892,The Python micro framework for building web applications.
keras-team/keras,False,True,45820,2079,0,2019-12-06T19:09:13Z,30,17374,17374,45820,2722,True,13334,False,False,True,2692,Python,2015-03-28T00:35:42Z,,False,2019-12-07T07:00:17Z,33015583,Deep Learning for humans
rails/rails,False,False,44628,2579,0,2019-12-07T03:13:33Z,30,18056,18056,44628,1299,False,192079,False,False,True,1269,Ruby,2008-04-11T02:19:47Z,,False,2019-12-07T07:08:04Z,8514,Ruby on Rails
chartjs/Chart.js,False,False,46341,1463,4,2019-12-07T03:08:54Z,10,10059,10059,46341,508,False,16255,False,False,True,494,JavaScript,2013-03-17T23:56:36Z,,False,2019-12-07T05:06:59Z,8843683,Simple HTML5 Charts using the <canvas> tag
golang/go,False,True,66629,3403,0,2019-12-07T00:47:37Z,30,9406,9406,66629,5059,True,199199,False,False,True,5029,Go,2014-08-19T04:33:40Z,,False,2019-12-07T06:27:40Z,23096959,The Go programming language
vkiryukhin/pretty-data,False,True,140,8,0,2018-06-06T20:46:59Z,7,36,36,140,17,True,17,False,False,True,10,JavaScript,2012-02-20T09:40:07Z,,False,2019-12-06T02:44:56Z,3492370,"plugin to pretty-print or minify data in XML, JSON and CSS formats"
mrdoob/three.js,False,True,56979,2469,0,2019-12-07T05:26:00Z,30,21646,21646,56979,680,True,750621,False,False,False,650,JavaScript,2010-03-23T18:58:01Z,,True,2019-12-07T07:06:46Z,576201,JavaScript 3D library.
giampaolo/psutil,False,False,5652,226,1,2019-12-05T12:57:57Z,22,899,899,5652,172,False,32955,False,False,True,149,Python,2014-05-23T14:01:48Z,,False,2019-12-07T19:29:20Z,20101515,Cross-platform lib for process and system monitoring in Python
jquery/jquery,False,True,52678,3440,5,2019-12-03T11:35:49Z,16,18841,18841,52678,95,True,29847,False,False,False,74,JavaScript,2009-04-03T15:20:14Z,,False,2019-12-07T05:00:41Z,167174,jQuery JavaScript Library
n-johnson/expand-home-dir,False,True,5,1,0,2017-03-19T18:11:30Z,1,3,2,5,1,True,2,False,True,True,0,JavaScript,2016-03-23T01:26:04Z,,False,2018-04-13T12:16:11Z,54520953,Expand ~/
psf/requests,False,False,40964,1411,0,2019-12-06T11:54:57Z,30,7457,7457,40964,291,True,12457,False,False,True,261,Python,2011-02-13T18:38:17Z,,True,2019-12-07T04:36:40Z,1362490,"A simple, yet elegant HTTP library."
nvbn/thefuck,False,True,50747,818,0,2019-12-02T15:33:31Z,30,2538,2538,50747,209,True,2810,False,False,True,179,Python,2015-04-08T15:08:04Z,,False,2019-12-07T02:01:32Z,33614304,Magnificent app which corrects your previous console command.
netdata/netdata,False,True,43252,1365,0,2019-12-07T22:16:18Z,30,3913,3913,43252,656,True,34668,False,False,True,626,C,2013-06-17T18:39:10Z,,False,2019-12-07T20:48:31Z,10744183,"Real-time performance monitoring, done right! https://my-netdata.io/"
electron/electron,False,True,79143,2800,0,2019-12-07T02:20:09Z,30,10516,10516,79143,1235,False,69248,False,False,True,1205,C++,2013-04-12T01:47:36Z,,False,2019-12-07T06:05:22Z,9384267,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
shadowsocks/shadowsocks-windows,False,True,45462,2518,0,2019-12-05T03:34:12Z,12,14734,14734,45462,128,True,10022,False,False,True,116,C#,2013-01-14T07:54:16Z,,False,2019-12-07T20:34:13Z,7600409,"If you want to keep a secret, you must also hide it from yourself."
